Week,GM,G,A,P,PIM,PPP,SHP,GWG,SOG,FOW,HIT,BLK,W,L,GA*,GAA,SV,SA*,SV%,SHO
22,Stupid Reggie...,13,18,31,38,12,0,2,95,110,41,46,4,1,9,1.80,106,115,0.921739130435,1
22,John Kim,4,22,26,20,9,0,0,66,58,43,46,3,1,12,2.92,105,117,0.897435897436,0
22,jinhoo,17,19,36,16,5,1,1,109,106,49,38,2,1,17,3.31,117,134,0.873134328358,0
22,ðŸ‡°ðŸ‡µ,13,22,35,14,6,2,2,84,100,46,29,2,1,7,2.30,82,89,0.921348314607,0
22,roylee,17,18,35,20,7,1,3,96,64,42,34,2,2,14,3.55,88,102,0.862745098039,0
22,john cho,11,26,37,18,6,0,2,106,123,39,55,2,1,7,2.36,82,89,0.921348314607,0
Week,GM,G,A,P,PIM,PPP,SHP,GWG,SOG,FOW,HIT,BLK,W,L,GA*,GAA,SV,SA*,SV%,SHO
23,Stupid Reggie...,8,16,24,8,5,0,2,69,64,30,41,2,0,1,0.50,39,40,0.975000000000,1
23,John Kim,5,16,21,21,5,0,1,53,40,44,36,0,2,8,3.35,63,71,0.887323943662,0
23,jinhoo,8,14,22,12,4,0,2,58,68,29,28,1,3,12,3.16,100,112,0.892857142857,0
23,ðŸ‡°ðŸ‡µ,6,13,19,4,4,0,0,61,69,33,20,3,0,4,1.34,66,70,0.942857142857,1
23,roylee,7,13,20,20,7,0,2,68,52,36,24,3,0,7,1.73,120,127,0.944881889764,1
23,john cho,10,10,20,4,4,0,3,51,64,19,25,2,0,7,2.27,60,67,0.895522388060,0
23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,
23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,
